id;id_allegato_task;id_tipo;id_task;formato;note;stato;pubblico;version;id_allegato_master
1;1;2;6;90157;cross-platform white Refined Metal Chips;80331;71306;clicks-and-mortar Barbados Dollar;52320
2;1;5;3;46753;Auto Loan Account;81037;90880;Fantastic Frozen Chips;88091
3;7;6;7;48161;Metrics Infrastructure;9602;36771;Borders;41765
4;1;3;5;96850;Multi-tiered;14711;96787;Technician technologies Keyboard;68885
5;5;4;5;76720;XSS Rubber;27580;17185;ROI;40070
6;2;6;8;49224;Rubber;44052;30383;e-services;19030
7;4;4;8;26279;e-markets white Small;19505;42769;azure;16690
8;4;6;0;64181;customer loyalty white;17750;73202;auxiliary compressing silver;18207
9;6;7;2;889;Unbranded Functionality;89966;52446;Games;43504
10;5;3;0;87174;EXE synergy Soap;73753;65278;Licensed Granite Cheese Developer Ergonomic;17880
