id;id_task_ref;data_inizio;data_fine;time_line;version
1;7;HTTP deposit Illinois;transmit;41306;connecting turquoise Costa Rican Colon
2;8;Internal calculate;Baby Tala Mississippi;2405;parsing engineer
3;8;feed visionary;National synergies;8898;Steel indigo
4;3;bandwidth;Gorgeous San Marino;74422;Automotive Concrete Borders
5;6;redundant;Forward Small bypassing;38469;Markets Money Market Account
6;5;Mouse;Awesome;98693;Assistant Music USB
7;7;port Tasty Metal Fish withdrawal;optical Borders Cocos (Keeling) Islands;94308;Prairie analyzer Up-sized
8;1;Infrastructure Cambridgeshire Consultant;moderator Chips;69859;Fully-configurable Arkansas Berkshire
9;8;back-end Frozen service-desk;XSS;8894;New York
10;1;FTP;Bike Refined Future-proofed;18282;extend
