id;id_attivita;luogo_fisico;indicazioni_luogo;data_inizio;ora_inizio;data_fine;ora_fine;url_stanza_virtuale
1;10934;France Coves;Orchestrator didactic generating;Uganda firmware;Open-architected Shoes SMS;Planner;Czech Koruna;Gorgeous Concrete Cheese
2;6709;Bedfordshire;Centralized online;payment bluetooth;Rufiyaa Credit Card Account;Accountability Springs convergence;Ergonomic Manager;auxiliary
3;10439;Dong;AI;compress;invoice Optimization;Fantastic Rubber Pants synergize Mexican Peso Mexican Unidad de Inversion (UDI);Rustic Rubber Soap parsing SSL;clicks-and-mortar Wisconsin Fantastic
4;64981;payment Developer copying;Avon;Intelligent portals;Global Rustic Cotton Bacon Rubber;eyeballs redundant projection;Tactics;pink homogeneous Director
5;7300;Director methodologies;cross-media;killer New Jersey;infrastructures;holistic Cheese;Clothing Research;Macao mobile East Caribbean Dollar
6;76677;tan;SDD;interactive;Chicken action-items;Bedfordshire Down-sized Investment Account;Personal Loan Account Falkland Islands Pound invoice;payment applications
7;77511;Nebraska Buckinghamshire transmit;calculate;USB Branding;Accounts;transmitting;Montana Tuna Swiss Franc;toolset CSS compressing
8;54090;Licensed Granite Computer expedite sky blue;Sports;Virtual;eco-centric Regional;Computers;synergies;Cambridgeshire Gorgeous
9;44178;Supervisor;Refined;Georgia Metal;Rhode Island open system;monetize Sausages;Tasty;Trail users full-range
10;51917;Practical Designer;hacking calculating Savings Account;Iranian Rial;HTTP;Nauru Savings Account throughput;payment circuit Wooden;Investor SMTP
