id;id_ordine;id_prodotto;quantita;importo;cod_iva
1;54758;63515;21969;3704;Borders
2;3756;53181;89970;42461;Executive interactive directional
3;33448;2060;48552;76295;Computers Bedfordshire infrastructure
4;54568;51329;70159;67843;invoice transmit Marshall Islands
5;31830;52399;20013;23179;Checking Account scalable Bedfordshire
6;59638;12028;52218;45793;Pula Meadow
7;93259;23467;14017;94725;USB
8;66390;45857;93675;12232;Plastic
9;2125;87588;65367;82112;Taiwan
10;46312;39201;69394;32598;Auto Loan Account copy
