id;id_persona_ref;nome;tipo
1;32712;Bermuda challenge metrics;customized interactive Persistent
2;84281;Global Sausages Unbranded;Investment Account virtual
3;20245;Berkshire Ohio payment;Bedfordshire Agent
4;72690;Usability;Intelligent convergence neural
5;33410;hard drive transform;Solutions New Jersey
6;56155;back up Computer;connect e-business
7;609;Road recontextualize withdrawal;mission-critical North Carolina payment
8;17180;ability Licensed Granite Towels AI;back-end
9;52079;Tools;Borders Decentralized
10;9570;Incredible backing up;hacking
