id;id_task_ref;data_pianificata;ora_pianificata;data_scadenza;version
1;4;infrastructure orchestrate sticky;implement system engine;Handcrafted Soft Computer metrics;Kwanza
2;4;Generic Pennsylvania;1080p Re-engineered;National;generating Security
3;7;Costa Rica hardware SSL;monitor Valleys;Strategist Salad orchid;mobile
4;2;compressing payment;middleware compress redefine;Berkshire;Fantastic Administrator
5;3;Solomon Islands Dollar;maximize Pants coherent;hack Markets solutions;Shore invoice
6;1;Handcrafted Concrete Chips Integration;SMTP Mississippi;purple;Gorgeous Wooden Chicken Jordan
7;7;extend;Product withdrawal;purple engage;South Carolina Extended Granite
8;4;withdrawal;Pizza Saudi Riyal Assimilated;Generic contextually-based;yellow
9;8;Unbranded Rubber Chicken Savings Account fuchsia;Generic Fresh Bacon Stand-alone Managed;parsing index;Forward Avon
10;2;Markets;Facilitator Reverse-engineered;program;revolutionary connect Buckinghamshire
