id;id_task_ref;data_inizio;data_fine;luogo;indicazioni_luogo;version
1;0;Streamlined customer loyalty;Handmade;value-added;PNG;whiteboard Peso Uruguayo Uruguay Peso en Unidades Indexadas synthesize
2;3;frictionless Haiti;Avon;Ergonomic;multi-byte;orange
3;4;International;Guyana Dollar quantify;Avon cross-platform Optional;auxiliary expedite Granite;e-business
4;5;Personal Loan Account;SSL Awesome;pixel Legacy Checking Account;Fresh;generating
5;3;Assistant Table Maine;initiative analyzer;tan synthesize FTP;projection portals magenta;RAM
6;7;SDD Direct Sports;payment Shoes;Comoros;purple;program
7;6;intermediate;leading-edge JBOD;responsive connecting invoice;port;port Bike
8;8;Plastic synthesizing;maroon Generic Steel Soap;synthesize Investment Account Small Steel Mouse;e-commerce Cove deposit;responsive
9;2;Fresh Reunion;calculating Corporate Nevada;Generic Metal Table plum Wooden;Singapore;hack Fish
10;7;International SMS;calculating;attitude;Beauty web-enabled Borders;Bosnia and Herzegovina
