id;id_task;qnt_ordine;prc_previsione;check_list;id_task_milestone;tipo_task;version
1;3;1;1;15948;49279;Road;real-time Buckinghamshire
2;4;5;0;32651;41789;Factors National;Plastic Chief Creative
3;8;4;0;74758;64915;Pitcairn Islands Cambridgeshire Orchestrator;morph orange hardware
4;2;2;1;86822;6555;cutting-edge invoice;Peru
5;6;0;1;61026;93986;SMS Producer Field;Group seize Triple-buffered
6;5;6;0;4880;27664;Interactions Fantastic index;Montana
7;8;6;1;46320;11877;Home Loan Account navigate;leverage
8;8;5;1;19839;76062;synthesize Configuration;hacking human-resource Synergized
9;6;1;0;91443;14519;silver deposit New Hampshire;Syrian Arab Republic alliance overriding
10;0;3;1;92921;34099;Accountability Granite;revolutionary relationships support
