id;id_task;id_pratica_ref;nome;stato;prioritario;pubblico;version;id_condivisione_pratica_ref;id_assegnazione_task_ref;id_invito_ref
1;6;5;Moldovan Leu Intelligent;34158;98914;48132;payment Gloves Washington;64501;5;1
2;0;3;Baby Baby morph;14638;56576;80834;back-end;99818;4;8
3;4;7;Human transmit Usability;55986;96003;69872;proactive reboot;1959;2;8
4;1;7;synthesizing;3157;69521;79811;web-enabled back-end optical;627;4;6
5;7;6;Gorgeous Soft Car;94192;48628;9752;recontextualize Checking Account integrate;22993;6;4
6;2;7;Industrial ADP Western Sahara;11869;28011;66568;real-time navigate Applications;91635;1;1
7;8;6;Personal Loan Account;75240;44274;85204;optimize Concrete;26991;5;1
8;4;5;Checking Account;82622;36533;82613;Connecticut;55282;6;8
9;4;5;deposit Vision-oriented;79766;38586;67369;initiatives;21358;1;3
10;2;6;GB 24/7;54973;72320;97663;toolset collaboration Egyptian Pound;28507;4;8
