id;nome;formati_ammessi;max_dimensione_ammessa;version
1;front-end Tasty;capacity platforms;Minnesota Fundamental Slovakia (Slovak Republic);Executive
2;systems Handmade Steel Bike Corporate;silver Senior;National Soap;blue Refined Cotton Sausages architectures
3;open architecture;Home Loan Account;plug-and-play online;e-services
4;protocol;Home plug-and-play end-to-end;Car web services;Yen
5;Credit Card Account quantify;Central;cross-media;parse
6;seize virtual;expedite Borders;one-to-one;deposit
7;overriding Azerbaijanian Manat payment;Research South Carolina Granite;Shoes 1080p Ergonomic Soft Computer;Granite
8;Rubber Lithuanian Litas AGP;Steel Gorgeous zero tolerance;Arkansas Upgradable input;rich
9;withdrawal synthesizing Music;Officer Sports Berkshire;Incredible Concrete Computer Tuna Libyan Dinar;Product
10;program Tools;Mexico;Refined Steel Fish hack Serbian Dinar;index
